Id,Agree Tou,Lastlogin,Facebook Username,Username,Foreignaccount,Foreignaccount Done,Foreignaccount Redirect,Foreignaccount Auth,Facebook Firstname,Facebook Lastname,Faillogin Count,Faillogin Datetime,Domain ImportID,ImportID Event,Domain ImportID Event,Is Sponsor,Has Profile,Publish Contact,Notify Traffic Listing,Active,Newsletter,First Name,Last Name,Company,Address,Address2,City,State,Zip,Country,Phone,Fax,Email,Url
17,,2013-06-03 09:26:43,,carl@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Carl,Gilmore,Bikes,154 Main Street,,Miami,FL,35687,,012 254 2365,,test_email@edirectory.com,
18,,2012-11-30 16:07:11,,david@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,David,Adams,Photos & Films,657 Main Street,,Orlando,FL,33524,,025 412 2563,,test_email@edirectory.com,
19,,2013-05-30 13:31:36,,steve@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Steve,Green,Garden House,554 Main Street,,Sacramento,CA,87456,,015 254 2256,,test_email@edirectory.com,
20,,2012-11-30 14:52:37,,rachel@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Rachel,Bing,Shoes World,745 Main Street,,New York,NY,12345,,012 123 4576,,test_email@edirectory.com,
22,,2013-06-04 14:53:20,,demo@demodirectory.com,n,n,,,,,,,,,,y,y,y,n,y,n,Test Account,Demo,Arca Solutions,,,Annandale,VA,22003,United States,703.914.0770,,test_email@edirectory.com,
218,1,2013-06-03 09:34:51,,mark@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Mark,Wilson,HEALTH CARE,456 Main Street,,Miami,FL,33545,,025 145 7789,,test_email@edirectory.com,http://www.edirectory.com/directory_ad.php
252,,2012-11-30 14:06:09,,sophia@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Sophia,Martinez,,,,,,,,,,test_email@edirectory.com,
253,,2012-11-30 16:27:53,,emma@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Emma,Rogers,,,,,,,,,,test_email@edirectory.com,
254,,2013-05-30 14:29:52,,olivia@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Olivia,Hayes,,,,,,,,,,test_email@edirectory.com,
255,,2013-02-28 17:37:32,,ava@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Ava,Grant,,,,,,,,,,test_email@edirectory.com,
256,,2013-03-04 08:55:28,,emily@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Emily,Elliott,,,,,,,,,,test_email@edirectory.com,
257,,2012-11-30 15:40:06,,abigail@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Abigail,Meyer,,,,,,,,,,test_email@edirectory.com,
258,,2012-11-30 11:42:37,,madison@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Madison,Larson,,,,,,,,,,test_email@edirectory.com,
259,,2012-11-30 16:18:15,,chloe@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Chloe,Jensen,,,,,,,,,,test_email@edirectory.com,
260,,2012-12-03 09:20:54,,jacob@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Jacob,Hale,,,,,,,,,,test_email@edirectory.com,
261,,2013-05-30 12:21:00,,susan@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Susan,Lewis,,,,,,,,,,test_email@edirectory.com,
262,,2012-12-03 09:31:04,,ethan@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Ethan,Reed,,,,,,,,,,test_email@edirectory.com,
263,,2012-12-03 14:32:41,,michael@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Michael,Watson,,,,,,,,,,test_email@edirectory.com,
264,,2013-05-30 11:27:39,,william@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,William,Butler,,,,,,,,,,test_email@edirectory.com,
265,,2013-05-30 14:19:54,,alexander@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Alexander,Reynolds,,,,,,,,,,test_email@edirectory.com,
266,,2012-11-30 11:46:00,,noah@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Noah,Gordon,,,,,,,,,,test_email@edirectory.com,
267,,2013-02-28 17:51:29,,aiden@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Aiden,Gardner,,,,,,,,,,test_email@edirectory.com,
268,,2012-11-30 16:13:27,,anthony@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Anthony,Harper,,,,,,,,,,test_email@edirectory.com,
269,,2012-11-30 11:45:10,,nicholas@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Nicholas,Lawson,,,,,,,,,,test_email@edirectory.com,
270,,2013-05-30 11:54:56,,henry@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Henry,Burton,,,,,,,,,,henry@sample.com,
271,,2012-12-03 09:29:01,,grace@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Grace,Cantrell,,,,,,,,,,test_email@edirectory.com,
272,,2013-06-03 09:32:54,,sarah@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Sarah,Britt,,,,,,,,,,test_email@edirectory.com,
273,,2013-05-30 13:26:32,,layla@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Layla,Donovan,,,,,,,,,,test_email@edirectory.com,
274,,2013-05-30 14:08:43,,kimberly@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Kimberly,Lancaster,,,,,,,,,,test_email@edirectory.com,
275,,2013-06-03 09:35:36,,andrea@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Andrea,Levine,,,,,,,,,,test_email@edirectory.com,
276,,2013-05-30 14:30:32,,lucy@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Lucy,Foreman,,,,,,,,,,test_email@edirectory.com,
277,,2013-06-03 09:38:27,,eric@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Eric,Knowles,,,,,,,,,,test_email@edirectory.com,
278,,2012-11-30 16:16:15,,chase@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Chase,Frederick,,,,,,,,,,test_email@edirectory.com,
279,,2013-05-30 12:09:49,,thomas@sample.com,n,n,,,,,1,2013-05-30 12:20:41,,,,y,y,n,n,y,n,Thomas,Cotton,,,,,,,,,,test_email@edirectory.com,
280,,2012-11-30 14:08:51,,scott@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Scott,Crane,,,,,,,,,,test_email@edirectory.com,
281,,2013-05-30 12:05:58,,stacy@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Stacy,Zimmerman,,,,,,,,,,test_email@edirectory.com,
282,,2013-05-29 11:52:46,,derrick@sample.com,n,n,,,,,5,2013-05-30 11:54:14,,,,y,y,n,n,y,n,Derrick,Bass,,,,,,,,,,test_email@edirectory.com,
283,,2012-11-30 11:43:48,,melanie@sample.com,n,n,,,,,,,,,,n,y,n,n,y,n,Melanie,Klein,,,,,,,,,,test_email@edirectory.com,
284,,2012-11-30 14:17:27,,philip@sample.com,n,n,,,,,,,,,,n,y,n,n,y,n,Philip,Marsh,,,,,,,,,,test_email@edirectory.com,
286,,2012-12-03 09:38:45,,amber@sample.com,n,n,,,,,,,,,,n,y,n,n,y,n,Amber,Hodges,,,,,,,,,,test_email@edirectory.com,
312,,,,norie.calunsag@arcasolutions.com,n,n,,,,,,,,,,y,y,n,y,n,n,Norie,Calunsag,Company ABC,,,Beverly Hills,CA,10785,US,,,norie.calunsag@arcasolutions.com,
313,1,2013-07-02 01:06:05,,test@test.com,n,n,,,,,,,,,,y,y,n,n,n,n,test,test,,,,,,,,,,test@test.com,
314,1,2014-01-07 08:35:12,,lorice.jamito@arcasolutions.com,n,n,,,,,,,,,,y,y,n,n,y,n,edirectory,Support,,,,,,,,,,lorice.jamito@arcasolutions.com,
315,1,2013-09-18 10:29:43,,rkumar@segnant.com,n,n,,,,,,,,,,y,y,n,n,y,n,Robert,k,,,,,,,,,,rkumar@segnant.com,
316,1,2013-10-28 15:17:18,,taroncample@yahoo.com,n,n,,,,,12,2014-05-03 14:26:56,,,,y,y,n,n,y,y,Beauty,Pro,,,,,,,,,,taroncample@yahoo.com,
317,1,2013-11-07 16:52:10,,B.pro411@yahoo.com,n,n,,,,,,,,,,y,y,n,n,y,y,Borner\'s Barber,College,,,,,,,,,,B.pro411@yahoo.com,
318,1,2013-11-07 19:04:52,,Prettyingreensalon@gmail.com,n,n,,,,,,,,,,y,y,n,n,y,y,Robert,Calton,,,,,,,,,,Prettyingreensalon@gmail.com,
319,,,,l0r1c3@yahoo.com,n,n,,,,,,,,,,y,y,n,y,y,n,Lorice,Jamito,,,,,,,,,,l0r1c3@yahoo.com,
320,1,2014-02-19 17:30:14,,vsinghal@birchstreet.net,n,n,,,,,,,,,,n,y,n,n,y,y,Veena,Singhal,,,,,,,,,,vsinghal@birchstreet.net,
321,1,2014-03-09 20:00:54,,ksinghal_98@yahoo.com,n,n,,,,,3,2014-05-13 20:49:36,,,,y,y,n,n,n,y,demo,demo2,,,,,,,,,,ksinghal_98@yahoo.com,
322,,2014-03-26 02:45:59,,test@yahoo.com,n,n,,,,,,,,,,y,y,n,y,n,n,test,lastname,,18144 USHighway 18,,Big Lake,Alaska,92307,,(760) 242-3839,,test@yahoo.com,
323,1,2014-04-09 22:04:08,,ksinghal@gmail.com,n,n,,,,,,,,,,y,y,n,n,y,y,Pinku,Singhal,,,,,,,,,,ksinghal@gmail.com,
324,1,,,Luara_P93@yahoo.com,n,n,,,,,,,,,,n,y,n,n,y,y,Luara,P,,,,,,,,,,Luara_P93@yahoo.com,
325,1,,,abc@email.com,n,n,,,,,,,,,,n,y,n,n,n,y,Kshitij,Singhal,,,,,,,,,,abc@email.com,
326,1,,,veenagarg1950@gmail.com,n,n,,,,,,,,,,n,y,n,n,n,y,Kshitij,Singhal,,,,,,,,,,veenagarg1950@gmail.com,
